ORG_TYPE_IDENT,ORG_TYPE_ID,DESCRIPTION,RECORD_CREATION_DATE,DATABASE_NAME,EXTERNAL_LOCATION,STREAM_LOAD_DATETIME
-99,0,Unspecified,1/1/00 0:00,hstm_bi_hlcdb15,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
1,1,Customer,11/1/16 10:12,hstm_bi_hlcdb15,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,11/1/16 10:12,hstm_bi_hlcdb15,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,11/1/16 10:12,hstm_bi_hlcdb15,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
4,4,Training,11/1/16 10:12,hstm_bi_hlcdb15,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
5,5,Template,1/22/21 8:31,hstm_bi_hlcdb15,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
1,1,Customer,11/21/13 9:16,hstm_bi_hlcdb6,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,11/21/13 9:16,hstm_bi_hlcdb6,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,11/21/13 9:16,hstm_bi_hlcdb6,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
4,4,Training,11/21/13 9:16,hstm_bi_hlcdb6,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
5,5,Template,1/22/21 8:30,hstm_bi_hlcdb6,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
1,1,Customer,1/28/14 23:39,hstm_bi_hlcdb14,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,1/28/14 23:39,hstm_bi_hlcdb14,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,1/28/14 23:39,hstm_bi_hlcdb14,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
4,4,Training,1/28/14 23:39,hstm_bi_hlcdb14,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
6,5,Template,1/22/21 8:30,hstm_bi_hlcdb14,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
-99,0,Unspecified,1/1/00 0:00,hstm_bi_hlcdb20,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
1,1,Customer,3/17/20 12:51,hstm_bi_hlcdb20,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,3/17/20 12:51,hstm_bi_hlcdb20,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,3/17/20 12:51,hstm_bi_hlcdb20,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
4,4,Training,3/17/20 12:51,hstm_bi_hlcdb20,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
5,5,Template,1/22/21 8:30,hstm_bi_hlcdb20,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
1,1,Customer,11/21/13 9:35,hstm_bi_hlcdb9,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
2,2,Sales/Demonstration,11/21/13 9:35,hstm_bi_hlcdb9,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
3,3,Quality Assurance,11/21/13 9:35,hstm_bi_hlcdb9,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
4,4,Training,11/21/13 9:35,hstm_bi_hlcdb9,HSTM_INTEGRATEIO_ETL,2/19/25 10:00
